Day,Name,Discount,Dev,Secret words,Date confirmed,Sale confirmed,Url,DevUrl,Notes,Catalog,CoverImgUrl
1,Loops,25%,ShmorkGames,floof,TRUE,TRUE,https://shmorkgames.itch.io/loops,https://shmorkgames.itch.io/,New Release!,,https://img.itch.zone/aW1nLzE0MTMzMTcyLnBuZw==/original/syFE%2B8.png
2,Reel-istic Fishing,75%,Toad,Bubbles,TRUE,TRUE,https://toadleyundercontrol.itch.io/reelisticfishing,https://toadleyundercontrol.itch.io,,,https://img.itch.zone/aW1nLzEzNjk0MDE4LnBuZw==/original/qeD5gv.png
3,Stars of the Screen,50%,mouflon cloud,loading ,TRUE,TRUE,https://mouflon-cloud.itch.io/stars-of-the-screen,https://mouflon-cloud.itch.io,,,https://img.itch.zone/aW1nLzEzOTA0NDE5LnBuZw==/original/1hjF5F.png
4,Skwish,60%,pawprints,blob,TRUE,TRUE,https://pawprints.itch.io/skwish-playdate,https://pawprints.itch.io/,,,https://img.itch.zone/aW1nLzExOTc1MDc4LnBuZw==/original/ecaXrO.png
5,Art & More,40%,Ledbetter,..More,TRUE,TRUE,https://ledbetter-games.itch.io/art-and-more,https://ledbetter-games.itch.io,"Check out the Merch: <a href=""https://ledbetterart.printify.me/"" target=""_blank"">https://ledbetterart.printify.me/</a>",https://play.date/games/art/,https://img.itch.zone/aW1nLzE0NTI5ODkxLnBuZw==/original/Y4jPsP.png
6,Spike II: The Great Emu War,30%,Goloso Games,minigun,TRUE,TRUE,https://golosogames.itch.io/spike-ii-the-great-emu-war,https://golosogames.itch.io,,,https://img.itch.zone/aW1nLzExMzE0Nzc0LnBuZw==/original/cf91fS.png
7,Hana I,50%,King of Shibuya,flower,TRUE,TRUE,https://kingofshibuya.itch.io/hanaden,https://kingofshibuya.itch.io,,,https://img.itch.zone/aW1nLzEzMjExOTM1LmdpZg==/original/KPJn4t.gif
8,Mad City,50%,TanukProd,Déjà-vu,TRUE,TRUE,https://tanukprod.itch.io/mad-city,https://tanukprod.itch.io,,,https://img.itch.zone/aW1nLzEwMTYzNjMxLnBuZw==/original/%2BQobkp.png
9,Snatchy Carrots,40%,XaniaLasagna,bunbun,TRUE,TRUE,https://xanialasagna.itch.io/snatchy-carrots,https://xanialasagna.itch.io,New Release!,,https://img.itch.zone/aW1nLzE0Mjc5MjY1LnBuZw==/original/y%2FAKrL.png
10,Life's 2 short: Unhooked ,50%,pixel Ghost,rum,TRUE,TRUE,https://pixel-ghost.itch.io/lifes-2-short-unhooked,https://pixel-ghost.itch.io,,,https://img.itch.zone/aW1nLzEyODY1OTk3LnBuZw==/original/lNJfJv.png
11,The Fall of Elena Tempe,50%,GrimTalin,coins,TRUE,TRUE,https://grimtalin.itch.io/fall-elena-temple,https://grimtalin.itch.io,,,https://img.itch.zone/aW1nLzEzMjg3OTEzLmdpZg==/original/fohSfi.gif
12,Easy Godding,80%,Alex May,Elementary,TRUE,TRUE,https://psychicteeth.itch.io/easygodding,https://psychicteeth.itch.io,Made for the YellowSquare Game Jam,,https://img.itch.zone/aW1nLzEzOTE0ODc5LnBuZw==/original/TYVLur.png
13,Sparrow Solitair,40%,Vogelscript (Mac),Tiles,TRUE,TRUE,https://vogelscript.itch.io/sparrow-solitaire,https://vogelscript.itch.io/,,,https://img.itch.zone/aW1nLzExODMwMDQ4LnBuZw==/original/NfZ3pg.png
14,Ausbruch,50%,Klickaffen Studio,Hell,TRUE,TRUE,https://klickaffen-game-club.itch.io/ausbruch,https://klickaffen-game-club.itch.io,,,https://img.itch.zone/aW1nLzEzNTc4NjMwLnBuZw==/original/7Lki0w.png
15,The Lushes Land,25%,SN Studios ,Lush,TRUE,TRUE,https://sn-studios.itch.io/the-lushes-land,https://sn-studios.itch.io,,,https://img.itch.zone/aW1nLzExMzUwNzY5LmdpZg==/original/x14OYy.gif
16,See the Sky,Free,Gingerbeardman,Tree,TRUE,TRUE,https://gingerbeardman.itch.io/see-the-sky,https://gingerbeardman.itch.io/,"An old story retold, read the <a href=""https://blog.gingerbeardman.com/2023/12/16/see-the-sky-thoru-yamamoto-christmas-story-for-playdate/"" target=""_blank"" rel=""noopener"">blog post</a>!",,https://img.itch.zone/aW1hZ2UvMjQxNzUzOS8xNDM0MDIwMy5wbmc=/347x500/BwMQWb.png
17,Gravity Express,35%,Nino von Hooff,Lift-off,TRUE,TRUE,https://ninovanhooff.itch.io/gravity-express,https://ninovanhooff.itch.io/,,,https://media-cdn.play.date/media/games/132751/Web_feature.png
18,Suddenly Bird,Free,Fev Games,Caw!,TRUE,TRUE,https://fevgames.itch.io/suddenly-bird,https://fevgames.itch.io,"<a href=""https://fevgames.itch.io/suddenly-bird/devlog/647134/the-winter-update-v11"" target=""_blank"" rel=""noopener"">Winter Update</a> Recently Released!",https://play.date/games/suddenly-bird/,https://media-cdn.play.date/media/games/426523/Website_image_-_Featured2.png
