Day,Name,Discount,Dev,Secret words,Date Confirmed,Sale Confirmed,Url,DevUrl,Catalog,CoverImgUrl,Screenshots (y/n),Icon (Y/N),Physical item for physical advent calendar,Put aside a physical version for the dev?
1,PUP CUP,,Ledbetter,Treatos ,TRUE,TRUE,https://ledbetter-games.itch.io/pupcup,https://ledbetter-games.itch.io/,,https://img.itch.zone/aW1nLzE5NzA3OTYzLnBuZw==/original/HyhMu5.png,yes,no,Christmas stuff a la Ledbetter,
2,Crank Casino,$6 to 5$ catalog/itch,IrishJiminy,Casino,TRUE,TRUE,https://irishjiminy.itch.io/crank-casino,https://irishjiminy.itch.io,https://play.date/games/crank-casino,https://img.itch.zone/aW1nLzE4Mjc4OTQzLnBuZw==/189x150%23/qlg2aq.png,yes,yes,3d printed casino chips,yes
3,Kuroobi,50% on Catalog || Free on itch.io,Raphcal ,Judo,TRUE,FALSE,http://rapcal.itch.io/kuroobi/,http://rapcal.itch.io,https://play.date/games/kuroobi/,https://img.itch.zone/aW1nLzEzNDg2Njk5LnBuZw==/original/LwkSOW.png,yes,yes,keychain,Yes
4,Be Kind to Yourself ,50% on Catalog ||  42% on Itch,Mouflon Cloud,HYPER,TRUE,FALSE,https://mouflon-cloud.itch.io/be-kind-to-yourself,https://mouflon-cloud.itch.io/,http://play.date/g/bkty,https://img.itch.zone/aW1nLzE2NDc3NDA4LnBuZw==/original/%2Fgujsy.png,yes,yes,Sticker & button pin,yes
5,Heist of Argonaut Limited,60%,Nico,train,TRUE,FALSE,https://thewriterwins.itch.io/the-heist-of-the-argonaut-limited,https://thewriterwins.itch.io,https://play.date/games/united-states-the-heist-of-the-argonaut-limited/,https://media-cdn.play.date/media/games/303932/WebImage_Feature_Catalog_FhEhrTp.png,yes,yes,Advent calendar merch,
6,spaceshipment ,25% off,ren,Orbit,TRUE,FALSE,https://renpenguin.itch.io/spaceshipment,https://redpenguin777.itch.io/,,https://img.itch.zone/aW1nLzE4NDQ5NjkxLnBuZw==/original/fV2GNP.png,yes,no,Stickers,
7,Hammet P.I.,4-6$,jkarpago,Investigating…,TRUE,FALSE,https://jkarpago.itch.io/hammet-pi,https://jkarpago.itch.io,,https://img.itch.zone/aW1nLzE3NjAzOTEyLmpwZw==/original/lJn%2F2D.jpg,yes,yes,Stickers,
8,Date Nite,donation drive 100% of funds going to a food bank for the holidays.,swansonge,Bees,TRUE,FALSE,https://swansonge.itch.io/date-nite,https://swansonge.itch.io,,https://img.itch.zone/aW1nLzE3NDY1MzUyLnBuZw==/original/6VMSG7.png,yes,yes,OST on USB with some early devlogs,
9,Crank IT!,,thumbgrooves,Reflexes,TRUE,FALSE,https://thumbgrooves.itch.io/crank-it,https://thumbgrooves.itch.io/,https://play.date/games/crank-it/,https://img.itch.zone/aW1nLzE2NDcyMDE1LnBuZw==/original/pyOaNN.png,yes,no,,
10,Echo: The Oracle Scroll,13%,Bumbleborn,Deliver,TRUE,FALSE,https://bumbleborn.itch.io/echo-the-oracles-scroll/,https://bumbleborn.itch.io/,https://play.date/games/echo-the-oracles-scroll/,https://img.itch.zone/aW1nLzE4MTM3OTIzLnBuZw==/original/c2tvzS.png,yes,no,,
