Day,Name,Discount,Dev,Secret words,Date Confirmed,Sale Confirmed,Url,Catalog,DevUrl,CoverImgUrl,Screenshots (y/n),Icon (Y/N),Item,Physical Completed
1,Goblin Village,50%,IrishJiminy,Goblin,TRUE,FALSE,https://irishjiminy.itch.io/goblin-village,https://play.date/games/goblin-village/,https://irishjiminy.itch.io/,https://img.itch.zone/aW1nLzIxNjAyMjc4LnBuZw==/315x250%23c/7bN8oB.png,yes,yes,3d printed characteres,yes
2,Teddison inc,50%,DraperDanMan,Geothermal,TRUE,FALSE,https://mirrordoor.itch.io/teddison-inc,https://play.date/games/teddison-inc/,https://mirrordoor.itch.io,,yes,yes,sticker,yes
3,Stockings & Presents,25%,Damos Games,Sorting,TRUE,FALSE,https://damosgames.itch.io/stockings-presents,,https://damosgames.itch.io/,,,yes,pin,yes
4,Ware-wolf Campfire Stories,,Mutiple devs,Full moon,TRUE,FALSE,https://ledbetter-games.itch.io/ware-wolf,,https://ledbetter-games.itch.io,https://img.itch.zone/aW1nLzIzODQ4MDM0LnBuZw==/original/a0zU7G.png,yes,yes,Wood coin,yes
5,Mouse Gun,50%,Silver Medal,Dr.Otto,TRUE,TRUE,https://silvermedal.itch.io/mousegun,,https://silvermedal.itch.io/,https://img.itch.zone/aW1nLzIzODMyNzUzLmdpZg==/315x250%23c/UfDimr.gif,yes,yes,sticker,yes
6,Rollerblade,30%,qwack!,glide,TRUE,FALSE,https://itch.io/s/172290/playdate-advent-calendar,,https://mcwgames.itch.io/,https://img.itch.zone/aW1nLzIyNDM1MTM5LnBuZw==/original/p9Zmm7.png,yes,yes,sticker ,yes
7,Boondoggle Chapter 1,50%,Xanialasagna,Gumption,TRUE,FALSE,https://xanialasagna.itch.io/boondoggle-beta,,https://xanialasagna.itch.io/,https://img.itch.zone/aW1nLzIyODM1ODk4LnBuZw==/original/V01YdI.png,yes,yes,Cube,yes
8,Reinforcefield,40%,Damos games,AI,TRUE,FALSE,https://damosgames.itch.io/reinforcefield,,https://damosgames.itch.io/,https://img.itch.zone/aW1nLzE0OTk0ODA1LnBuZw==/original/J9mYti.png,yes,yes,stickers,
9,Kidd Copter,33%,Kid Desimo,Janken,TRUE,FALSE,https://kid-desimo.itch.io/kidd-copter,,https://kid-desimo.itch.io,,no,yes,Magnet,Yes
10,Pulp Race,30%,Samplay,Race,TRUE,FALSE,https://samplay.itch.io/pulp-race-daft-enigma-fighter,,https://samplay.itch.io/,,yes,yes,Magnet,
11,Sing song ding dong,15%,Richard Munn ,Song,TRUE,FALSE,https://grapefruitopia.itch.io/sing-song,,https://grapefruitopia.itch.io/,https://img.itch.zone/aW1nLzIzMDI4MjcxLnBuZw==/original/58fKRh.png,yes,yes,USB key,
12,Les Trucs qui Tombent,pay-what-you-can,Desmu,Georges,TRUE,FALSE,https://desmucs.itch.io/les-trucs-qui-tombent-playdate,,https://desmucs.itch.io,https://img.itch.zone/aW1nLzIzMzU2MDQ0LnBuZw==/original/Er7YbO.png,yes,yes,game to cut out,yes
13,Gilly and the Isle of Sorrow,50%,Dark n' Stormy games,Lighthouse,TRUE,FALSE,https://darknstormygames.itch.io/gilly-and-the-isle-of-sorrow,,https://darknstormygames.itch.io/,https://img.itch.zone/aW1nLzIwMzc3MjUyLnBuZw==/original/5zjlbP.png,yes,no,stickers,yes
14,Yulelog 2025,Donation drive,,Whimsy,TRUE,FALSE,https://xanialasagna.itch.io/the-yulelog-fireplace,,https://xanialasagna.itch.io/,https://img.itch.zone/aW1nLzE0NTI3NTY4LnBuZw==/original/i2Cv9V.png,no,yes,magnet,yes
15,PUP CUP,33%,LedBetter,Pssssssh,TRUE,FALSE,https://ledbetter-games.itch.io/pupcup,https://play.date/games/pup-cup/,,https://img.itch.zone/aW1nLzE5NzA3OTYzLnBuZw==/original/HyhMu5.png,yes,yes,pin?,
16,Claydate,15%,Placeholders,Vase,TRUE,FALSE,https://placeholders.itch.io/claydate,,https://placeholders.itch.io/,https://img.itch.zone/aW1nLzIzNjI5Njc0LnBuZw==/original/8n%2BtXo.png,yes,yes,pin or sticker,
17,Duel of Shadows,,Domhaas,Perservere,TRUE,FALSE,https://dominik-haas.itch.io/duel-of-shadows,,https://dominik-haas.itch.io/,https://img.itch.zone/aW1hZ2UvMzI4OTQ5NS8xOTY2NzcwMC5wbmc=/347x500/3hAh6m.png,yes,no,sticker,
